R2

Race    May 17, 2026 at 2:54:26 PM

 Timing data provided by LapMonitor lap counting system (https://lapmonitor.com)


    Driver     | Laps  |    Time    |  Best Lap
=================================================
Sean           |    20 |    5:00.47 |    0:13.03
Brandon        |    20 |    5:10.70 |    0:12.88


Sean:
Lap     0:             0:07.41
Lap     1:   0:15.23   0:22.64
Lap     2:   0:14.76   0:37.40
Lap     3:   0:15.41   0:52.82
Lap     4:   0:15.49   1:08.31
Lap     5:   0:14.90   1:23.22
Lap     6:   0:14.51   1:37.73
Lap     7:   0:15.90   1:53.64
Lap     8:   0:14.76   2:08.40
Lap     9:   0:14.18   2:22.58
Lap    10:   0:13.41   2:36.00
Lap    11:   0:14.90   2:50.90
Lap    12:   0:14.18   3:05.08
Lap    13:   0:14.72   3:19.81
Lap    14:   0:13.30   3:33.11
Lap    15:   0:14.43   3:47.55
Lap    16:   0:14.32   4:01.88
Lap    17:   0:13.03   4:14.92
Lap    18:   0:16.20   4:31.12
Lap    19:   0:14.58   4:45.70
Lap    20:   0:14.76   5:00.47

Brandon:
Lap     0:             0:06.73
Lap     1:   0:14.07   0:20.81
Lap     2:   0:16.03   0:36.84
Lap     3:   0:16.57   0:53.42
Lap     4:   0:14.31   1:07.73
Lap     5:   0:15.26   1:23.00
Lap     6:   0:14.65   1:37.65
Lap     7:   0:14.43   1:52.09
Lap     8:   0:13.95   2:06.05
Lap     9:   0:13.79   2:19.84
Lap    10:   0:15.50   2:35.34
Lap    11:   0:14.62   2:49.97
Lap    12:   0:14.90   3:04.88
Lap    13:   0:14.37   3:19.25
Lap    14:   0:14.34   3:33.59
Lap    15:   0:28.96   4:02.55
Lap    16:   0:13.28   4:15.84
Lap    17:   0:12.88   4:28.72
Lap    18:   0:13.84   4:42.57
Lap    19:   0:14.82   4:57.39
Lap    20:   0:13.31   5:10.70
